@relation sortaGarbia-weka.filters.unsupervised.attribute.Remove-R3-4

@attribute Topic {twitter,google,apple,microsoft}
@attribute Sentiment {negative,positive,neutral,irrelevant}
@attribute TweetText string

@data
microsoft,neutral,'Microsoft turns your body into a touchscreen Microsoft'
twitter,neutral,'time to change my twitter app whats the best one for my iphone Help please twitterapps twitter vs tweetcaster vs ubersoical'
apple,neutral,'Win an iPod Touch from get the Hello World Baby Memories App PampersHelloApps'
twitter,neutral,'I just installed the new Twidroyd for Twitter on my Android Phone Its Free give it a try'
microsoft,irrelevant,'Microsoft lanza OmniTouch'
twitter,irrelevant,'Sex Games sex Twitter video'
google,irrelevant,'RT Widgets scrollables comme sur Honeycomb google nexusprime'
microsoft,neutral,'Yahoo Profit Drops Per Cent yahoo microsoft'
google,positive,'I think I should work for MelaleucaTheWellnessCompany Probably the best company to work for oh and Google'
apple,neutral,'Hey need more servers for Siri traffic Im sure Google can help you out with that'
twitter,irrelevant,'twitter detik Mengaku Masih Baru di Kabinet Cicip Baru Siapkan Program Pekan Depan'
apple,neutral,'I asked Siri if she swallowed she relied Lets see wtf do i do now wank over my phone'
microsoft,neutral,'Minority Reportesque interface developed by Microsoft Research and Carnegie Mellon University via'
twitter,neutral,'TwitterOFF GN'
microsoft,irrelevant,'RT RT Terug van evaluatie learning circles bij microsoft onder bezielend leiderschap van'
microsoft,irrelevant,'Blog Krokers Look IT Der AppleSchock im PCMarkt mit unerwartetem Potenzial fr Microsoft gt'
twitter,irrelevant,'Ala tengo a twitter asi o mas abandonado'
google,irrelevant,'RT Possibilité de taguer les personnes google nexusprime'
google,negative,'dear google samsung learn some presentation first please'
microsoft,irrelevant,'Workshop med idag Interessant citrix Microsoft SYSIKT'
microsoft,neutral,'Early cloud Microsoft partners will be rewarded w a Cloud Accelerate badge additional internal use rights'
apple,neutral,'Stay young stay foolish But take ownership when u fck up dont complain and never give up resilience'
google,neutral,'quick hands on Galaxy Nexus by Samsung google android ICS icecreamsandwich'
microsoft,negative,'German Federal Trojans got a BigBrother Gov spying on its people Microsofts bitbit Windows is target'
apple,positive,'Safari Reader owns the worldwide web'
google,neutral,'Sdk available now so you can develop apps for the phone and tablets right now Android Google'
microsoft,neutral,'RT Microsofts Ballmer promises Nokia Windows phones next week slams Android WP Window'
google,irrelevant,'Google Samsung Galaxy Nexus ICS'
google,negative,'Ouch crash and burn Android facial recognition in IceCreamSandwich didnt work during the presentation Google'
twitter,neutral,'RTzZzZzZzZzZzZzZzZzZzZ Twitter off'
twitter,neutral,'RT Twitter Each second there are new tweets for a total of million per day and billion per month Rate'
twitter,neutral,'Twitter Im coming home Im coming home tell the world that Im coming home lls'
google,irrelevant,'Google ainda te ama apesar de tudo IUEHAIUAHEIUHAEIUH P correo ainda te AMO'
google,irrelevant,'csportsmn android ios pulse google galaxy fringe ajildavna nexus ics'
twitter,neutral,'Ohemgee Be a follower twitter'
twitter,irrelevant,'puxi losiento deverdad q toy medio alejadoo de twitter pero pronto estare al dia cuidate muxo besitos a distancia bay'
apple,negative,'why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of'
microsoft,neutral,'Microsoft Pushing out Mango to more Windows Phones wp orange samsung lg optimus htc dell msft'
microsoft,irrelevant,'Avec OmniTouch faites de nimporte quelle surface un écran tactile Microsoft OmniTouch'
microsoft,irrelevant,'RT Microsoft presenta un prototipo que permite utilizar la mano como interfaz Kinect in fb'
apple,neutral,'so why is the ios support for nd gen ipods discontinued It is only years old Give us an ios update please'
twitter,irrelevant,'Hasta el queque de tarea pero heme aqui en twitter y FB jijijiji ya falta menos para terminar thanksGod'
twitter,irrelevant,'y en el HT Twitter eres tambn cabeza con votos Isa tienes lo votos regados con HT yovotopor tienes'
apple,negative,'It took about years just to figure out how to properly syncronize an iPhone WOW ios'
google,neutral,'Unwrapping Ice Cream Sandwich on the Galaxy Nexus google'
google,neutral,'Texas Instruments confirms Galaxy Nexus has newer OMAP processor google googlenexus'
twitter,neutral,'Followme dijo Twitter D'
microsoft,positive,'Awesome Microsoft holodeck bitlyqpGxle'
twitter,neutral,'I really dnt like to follow people who never on twitter'
google,irrelevant,'Mukesh Ambani MukeshAmbani Mukesh Ambani google youtube'
microsoft,irrelevant,'RT En España se pasa más tiempo en sites de Microsoft que en Facebook y en sites de Google'
microsoft,irrelevant,'Reflex Online is nu ook beschikbaar op Microsoft Marketplace Meer hierover op ons blog'
apple,negative,'would do better to inform customers properly about migrating to iCloud many complaints lead to image damage'
google,neutral,'Samsung Galaxy Nexus smartphone Android Ice Cream Sandwich unveiled by Google BT'
google,neutral,'What does it take to get a job at Google recruiting'
microsoft,neutral,'Reviora can host Microsoft Dynamics SL MSDYNERP'
microsoft,neutral,'Microsoft Cloud windowsserver RT Announcing the Microsoft WindowsAzure TCN'
apple,positive,'I just realized that the reason I got into twitter was ios thanks'
google,irrelevant,'RT SDK dispo aujourdhui google nexusprime'
google,neutral,'Android OS Ice Cream Sandwich and the Galaxy Nexus is outseems that smartphones are named by hungry developers Google'
microsoft,neutral,'Microsofts First Global MultiProduct Holiday Campaign'
microsoft,neutral,'thinking thinking thinking thinking dotnet asp microsoft'
google,neutral,'Is Google Flight Search a threat to the OTA and travel Meta Search market in India Check News'
microsoft,negative,'Comp crash Microsoft Wouldnt get this with an iMac'
twitter,neutral,'u post on twitter to much like ery sec Damn'
twitter,positive,'This whole Facebook change makes more nervous than excited What about privacy etc I much prefer Twitter'
apple,neutral,'Win an iPod Touch from get the Hello World Baby Memories App PampersHelloApps'
google,positive,'Cream on the inside clean on the outside Ice Cream phone job Google'
twitter,neutral,'Got to do itRT I am cracking up at advertising for Twitter LOL'
google,neutral,'Android Google Samsung Galaxy Nexus release details still in short supply DhilipSiva'
apple,neutral,'or to purchase my imac iPad and printer StudentDiscounts'
apple,negative,'Looks like did not appropriately project the resources needed for Siri Not very reliable'
google,neutral,'Engadget following android galaxy nexus event google samsung ICS'
microsoft,neutral,'Microsoft CEO on Android You Have to Be a Computer Scientist to Use It huffington post tech mobile'
microsoft,irrelevant,'TypeBuilder be gone Roslyn CTP is here Creating types without TypeBuilder Roslyn Microsoft'
microsoft,irrelevant,'Microsoft Security Essential gt Microsoft'
twitter,irrelevant,'Agora vou tentar dormi Game Over Twitter Facebook'
apple,neutral,'In case you were curious like me IPhone S Which Apple iPhone is Best for Price Features HealthIT EHR'
google,positive,'Thanks to Samsung and Google Im now craving for some Ice Cream Sandwich IceCreamSandwich Google Samsung'
microsoft,neutral,'Rumor New screen sizes specs coming to Windows Phones windowsphone microsoft microsoft'
twitter,irrelevant,'Buenas noches twitter friends Me despido q me voy a poner hacer mi tarea de acct q flojera Pero no se me permite fail any classes'
twitter,neutral,'Put your twitter on autopilot and let it gain followers for you TeamFollowBack Twitter autopilot aday'
apple,negative,'is Cloudy tech not very techy'
apple,neutral,'Can this ho Siri update your tweets cc'
twitter,neutral,'RT s are for twitter NOT facebook Duuuuhhh'
twitter,neutral,'Just because you follow me on twitter does NOT mean we cool As you can see I didnt follow yo thirsty ass back dummy xD'
microsoft,negative,'Microsoft We put the backwards into backwards compatibility instantfollowback'
microsoft,neutral,'Check out our podacst regarding Sugars Edge In Tems Of Database Structure Microsoft CRM'
google,irrelevant,'AsiaClassifiedToday Temasek to raise up to million with bond offer Straits Times Tele asia google biz'
apple,neutral,'overwhelmed by reaction to founders death Telegraph'
microsoft,neutral,'Microsoft Cloud Microsoft launches Virtual Academy in Kenya Microsoft East and Southern Africa launched TCN'
google,negative,'I hate tron theme Google ICS'
google,irrelevant,'AsiaClassifiedToday Asia Stocks Ringgit Gain on European Outlook Bloomberg Asia Stocks R asia google biz'
twitter,neutral,'RT Damn tired Need some rest Night twitter'
google,neutral,'goodtoknow privacy google'
apple,neutral,'I wonder If the person who has is holding out for apple to buy it from them'
apple,neutral,'ok it is back'
microsoft,irrelevant,'RT Hace tiempo Según Microsoft Firefox es spyware Firefox Microsoft'
microsoft,irrelevant,'seit apple facebook und google die groen bsen sind ist microsoft irgendwie wieder der sympathische nerdverein'
google,positive,'Mmm SmarterPhone RT Introducing Ice Cream Sandwich the delicious new version of Android ICS google'
twitter,irrelevant,'iae meu brother min siga ae no twitter ta lembrado de min né'
microsoft,neutral,'RT Microsoft tests and proves AppSense enterprise scalability K users on one personalization DB http'
microsoft,neutral,'Microsoft Changes The Yet Known Design of Windows Eight'
microsoft,irrelevant,'Grattis microsoft Jag mste allts ta bort Helvetica om jag ska kra IE ocheller Outlook'
google,irrelevant,'Que mierda le pasa a FOTA que no me quiere traer IceCreamSandwich Google Android GalaxyS'
twitter,irrelevant,'me re cop con twitter'
google,negative,'From its laughable file google will encrypt search results BUT only if U have logged in so they can maximize their data collection'
twitter,neutral,'oh wow lmao thank no wonder why no one answered me addicted twitter'
twitter,irrelevant,'Entre al Twitter solo para desahogarme B'
twitter,neutral,'SOLAR A simpLe symboL and AN underscore This is twitter WHERE WE twEEt'
twitter,irrelevant,'deberia de ponerme a leer un libro en lugar de estar perdiendo el tiempo en fb y twitter'
google,irrelevant,'Cest quand mme une conférence o on nattend pas h pour avoir une nouveauté google nexusprime'
microsoft,irrelevant,'En full capacitación de soportes en Microsoft Advertising muy entretenida'
apple,negative,'Every time I try the voice control on my iPod Touch to send an iMessage it starts playing Who Knew by Pink Still not Flawless'
twitter,neutral,'Thank you me too Looking forward to reviewing your book twitter authors socialmedia'
microsoft,irrelevant,'At the Microsoft imaginecup sri lanka in Peradeniya'
microsoft,irrelevant,'RT Leuk ik ontving net een mooi boeket bloemen thuis van Microsoft als dank voor mijn bijdrage en waardevolle input'
microsoft,neutral,'RT Book Published Microsoft SharePoint Power User Cookbook'
microsoft,irrelevant,'RT Cette année encore Microsoft remporte le prix du meilleur Service Client'
apple,neutral,'fan Eric Holder spotted at the Genius Store'
google,positive,'New Galaxy Nexus OS Hardware Improvements Camera Zero Shutter Lag nexus samsung google android bitlynEJbyE'
microsoft,neutral,'Club CALUMO was FUN See the vidio CALUMO Blog Denali Microsoft SQLServer via'
apple,neutral,'I hope will release an app for Siri for us nonapple s users apple iphone siri'
apple,neutral,'I want Siri on my iPhone'
apple,positive,'you need an iphoneS with Siri'
google,irrelevant,'Possibilité de taguer les personnes google nexusprime'
apple,negative,'Never purchasing another item from'
google,irrelevant,'Lucha de Titanes Las tres mejores alternativas a Google Earth Linux via'
microsoft,irrelevant,'Estou com tanta dó do windows phone CHUPA ESSA microsoft trem lindo de deus android'
microsoft,irrelevant,'Job ICT Verkaufspezialist von Infrastrukturlsungen an Geschftskunden wm Microsoft Schweiz Microsoft IT'
twitter,neutral,'If is up twitter is gona have some technical difficulties'
twitter,irrelevant,'De novo mais uma vez eu akie de madrugada falando sozinho no Twitter S'
google,neutral,'RT Google shows off new Ice Cream Sandwich features google android neowin'
apple,neutral,'The four American companies that have come to define stcentury on the verge of war and'
twitter,neutral,'uberSocial on blackberry crackberry is better than the actual twitter site Its wack on the iphone CoolStoryBro'
microsoft,irrelevant,'estoy agradecido con Dios y con Microsoft por la oportunidad que me han dado de ser parte del grupo selecto de los msp Gracias Señor'
twitter,irrelevant,'el momento en el que me puedo desahogar si efectividamente es en twitter'
google,positive,'Calling all marketing executives in houston sign up for google training I cant wait to be there for the week'
apple,positive,'s Siri is witchcraft Whats next yr lead lost'
apple,neutral,'how do you sync gmail contacts with your iphone help please'
apple,positive,'I love our imac even though I havent seen my hubby in days now geek'
apple,neutral,'store NY'
google,neutral,'Ha The demo fail is still resonating Kinda funny but on a global scale Cool feature though android google galaxynexus'
apple,positive,'iOS update submitted to Thanks for all the support'
microsoft,neutral,'RT Microsoft finalises Skype deal IT Business News Features skype Micr'
twitter,irrelevant,'De verdd qe si me he sentidoo rara estar un Dia sin mucho twitter B'
google,irrelevant,'google facebook'
google,neutral,'google yahoo bing Ballmer on Bing Xbox Appleoh and Yahoo too seo serps'
twitter,neutral,'RT RT If you lose followers on Twitter dont worry even Jesus lost followers Unknown quote via'
microsoft,neutral,'microsoft says android is too complex Interesting from a user angle contrast windows with macos for a comparison'
google,positive,'Googles Nexus really i wanna it now Awesome'
google,neutral,'What Is Ice Cream Sandwich Google'
microsoft,positive,'Maybe apple could use some of its billions to do some good in the worldoh wait thats what microsoft does'
apple,negative,'on hold for another half hour phone is ringing but no one is picking up you stink'
apple,negative,'Pondering the iOS update From the sounds of s difficulties I may just hold off FIX IT'
microsoft,irrelevant,'RT Director de Microsoft admite que fue afortunado el escape de la compra de Yahoo'
twitter,neutral,'gotta get back on my twitter grind'
twitter,irrelevant,'El live stream del server de IPN esta over capacity por no la caguen si no es twitter'
microsoft,neutral,'Microsoft launching the OmniTouch how funny I though that was an solution copyright via'
apple,neutral,'You need to ask Siri her favorite color and the average speed of an unladen swallow Seems Someone is a Monty python fan'
google,neutral,'Android Google Samsung Galaxy Nexus launching in US Europe and Asia this November DhilipSiva'
apple,irrelevant,'erneut im Fadenkreuz Umweltverschmutzung Zulieferer muss Produktion stoppen'
twitter,neutral,'RT tweeted Its official she is still alive Twitter'
twitter,irrelevant,'Ya el twitter como que me esta dejando de parecer divertido'
apple,positive,'It would have taken me mins to write this with my Blackberry Thank u s for converting me and showing me the grass is greener'
microsoft,neutral,'Windows Roadmap Windows Roadmap M final and Beta at CES O Microsoft'
microsoft,neutral,'Windows Phone firmware updates due next week to enable Internet Sharing microsoft windows'
microsoft,irrelevant,'Official plush Portal turrets deploying this December mac microsoft pc playstation'
twitter,negative,'Retweets section of my twitter account has not been working for hours Is Everyone else having this problem RT RTs'
google,irrelevant,'RT RT Der langsame Tod von SEO Google Suche fr eingeloggte User verschlsselt'
twitter,negative,'Im gonna need Twitter to get all these problems fixed ASAP'
microsoft,negative,'Reader Tronman compares SteveBallmer to an albatross around Microsofts neck Do you agree Join the discussion'
microsoft,positive,'Microsoft details Search improvements in Windows Start Screen'
twitter,irrelevant,'Facebook ah quedado en el olvido gracias a Twitter'
google,neutral,'Android Google Samsung Galaxy Nexus Coming Soon To Three UK DhilipSiva'
apple,positive,'My iPhone S battery lasted longer than a day That hasnt happened since my edge iPhone Nice job'
apple,neutral,'Wow sold million iPhone S in a single weekend'
google,irrelevant,'RT Andy Rubin de Google develó oficialmente el Samsung GalaxyNexus el er smartphone con Android Ice Cream Sandwich h'
apple,irrelevant,'RT This Moment w is brought to you by oh and'
google,irrelevant,'Google sorprende de nuevo basedenegocios business'
google,irrelevant,'Le Galaxy Nexus officialisé Samsung Google GalaxyNexus Icecream via'
microsoft,irrelevant,'Techno Microsoft lanza sitio oficial de Skype'
microsoft,neutral,microsoft
apple,neutral,'when r u going to provide the ability to password protect iPad email'
apple,positive,'Once again getting great customer service from the store at millenia mall'
apple,irrelevant,'Kan de tekstaanvulling op iphone en ipad niet omdraaien eigenteksteerst weetapplehetaltijdbeter'
twitter,negative,'Yep its official my tweets that get RTd arent showing me when they get RTd Dammit Twitter sometimes its LoveHate thing we have'
apple,negative,'Total chaos at store regent street Like an Ethiopian feeding station Cant believe this is same co that makes all that cool shit'
twitter,neutral,'twitter is like therapy for sum people say wat you feel get alot off yo chest And dont care wat the next person say'
microsoft,neutral,'Microsoft opens the spigot Windows Phone Mango available to all microsoft windowsphone'
twitter,neutral,'Good Night Twitter'
google,neutral,'All the info on Ice Cream Sandwich here google nexusprime ics android'
google,irrelevant,'inexus Named as One of The Telegraphs Top Free PR Site press release nexus one google'
twitter,irrelevant,'Ya Me voy Adios twitter por que esta muy Fome S'
google,irrelevant,'Use Caution When Sharing on Social Networks via youth facebook google'
twitter,neutral,'Is there a way that I can post voice notes on twitter'
twitter,neutral,'Follow your interests twitter'
twitter,irrelevant,'aai galeraa do twitter abrao para queem ficaa'
google,irrelevant,'FacebookGoogle Apps google googleapps'
twitter,irrelevant,'Se que en estos momentos transmiten soy tu fan cortesía de twitter y de'
twitter,neutral,'Twitters Thinking About Paying People to Tweet Technology PayMe Twitter'
microsoft,positive,'WP is getting there Microsoft Claws Back to Smartphone Relevance Rich Jaroslovsky Bloomberg via'
microsoft,neutral,'Ballmer Feels Lucky Microsoft Didnt Buy Yahoo in microsoft'
google,irrelevant,'android androidar google samsung'
twitter,irrelevant,'troquei meu avatar do twitter rs'
twitter,irrelevant,'é segue de volta esse Twitter a gente ta fundando a Pastoral da Juventude e precisamos de ajuda Segue bj'
microsoft,irrelevant,'die haben was an der Waffel ie microsoft wunschdenken'
microsoft,irrelevant,'yahoo microsoft Noticias Steve Ballmer da gracias al cielo porque Microsoft no compró Yahoo en'
microsoft,irrelevant,'Microsoft Please check out or site and join please we need more ppl maybe u can help'
google,neutral,'Android This Is the Samsung Galaxy Nexus Googles New Official Android Phonevia The'
twitter,neutral,'who follows ppl then unfollows them YourLameAsHell tryna make it seem like your somebody IMPORTANT its only TWITTER smh'
apple,neutral,'iPhone S MP camera Its a SONY apple iphoneS cameras'
google,neutral,'Google releases the latest version of Android IceCreamSandwich'
microsoft,positive,'RT Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech babygeeks'
apple,neutral,'SpeechTrans on App store listed as the best bidirectional Speech To Speech Translator Posts on Twitter'
twitter,irrelevant,'RT Sex Games sex Twitter video'
apple,neutral,'Siri is cool but more importantly handy and FUNNY please configure it for Canada Whats with the racism EH'
twitter,neutral,'GN Twitterzzzzzz Z Z z z z'
microsoft,neutral,'Leaving for smau Ill be at the Microsoft stand as a trainer for the wpdev labs Meet me there'
google,irrelevant,'RT Galaxy Nexus annoncé nexusprime google'
twitter,irrelevant,'Puta No se por que traje los cuadernos para estudiar a la cama si sigo en twitter OhShit TT'
microsoft,neutral,'Microsoft Stores offering a free Windows Phone with a purchase wp windowsphone wp mango msft'
google,irrelevant,'Rocksmith Rocksmith Rocksmith google youtube'
microsoft,irrelevant,'RT Krokers Look IT Der AppleSchock im PCMarkt mit unerwartetem Potenzial fr Microsoft gt'
google,neutral,'Android Google Meet the Samsung Galaxy Nexus and Ice Cream Sandwich DhilipSiva'
apple,neutral,'must be launching a searchengine imminent surely AppleSearch AppleCore bigapple haha Please be the latter'
microsoft,neutral,'GArepost RT Are you making the move from GoogleApps to Microsoft gtgt Metalogix can migrate y'
google,neutral,'New Google Nexus gt'
google,irrelevant,'RT Cuando grandes se unen Samsung y Google Estas cosas son las que pasan GalaxyNexus'
google,neutral,'Android Google First Official Galaxy Nexus Ice Cream Sandwich Promo Video With Feature Highlights DhilipSiva'
microsoft,neutral,'Creating Pareto charts using Microsoft Excel'
twitter,negative,'twitter why must you be so difficult'
microsoft,neutral,'Congratulations to Softline Pastel for winning ISV of the Year at Microsoft partnersummit'
microsoft,negative,'Internet Explorer is the biggest pile of shit ever seriously Microsoft IE'
google,irrelevant,'ICS et Google une communauté votre service'
apple,neutral,'I love I love my phone but ever since this damn update my texts keep saying theyre full when there are none thats a PROBLEM'
twitter,irrelevant,'mire la última foto que monte al Twitter ayude a su amigo a la colección D D D Indirecta'
microsoft,positive,'Yes good points about ERP but unfair assessment in saying SAGE SAP and Microsoft Dynamics are not delivering'
google,neutral,'How to Create your own Google Maps google maps'
google,irrelevant,'google samsung android'
twitter,neutral,'twitter is great once you get the hang of it I told her to get one to be a cool kid lol'
twitter,irrelevant,'eo tenho a mania de entrar no TWITTER i respondeeer as coisas ki mi mando kkkkkkkkkkkkk'
google,neutral,'Google confirms Nexus S will get IceCreamSandwich for real this time Gingerbread devices too'
google,neutral,'Google Google Event Vorstellung des Samsung Galaxy Nexus Caschys Blog o klingelte mein Wecker Googles'
microsoft,irrelevant,'Únase el Martes de Noviembre a las am EST al evento de lanzamiento de Microsoft Dynamics AX para latinoamérica'
google,negative,'Google Cloud Service Blackouts Threaten Cloud Users During a day period in August and September for TCN'
microsoft,irrelevant,'RT Une nouvelle interface haptique signée Microsoft et CanergieMellon OmniTouch Tactile et wearable cc http'
apple,neutral,'buried the ability to manage newsstand subscriptions under App Store Settings This is inconvenient at best'
google,irrelevant,'Virage Success Story Harvard Business School pdf ebook google'
google,positive,'google Finally All searches for logged in users will be on'
apple,negative,'Lies the battery on this new iPhoneS is definitely not any better'
apple,irrelevant,'Se tan arruinando mis audifonos d mi iphone quien me quiere regalar unos'
twitter,irrelevant,'A gente empolga nee com Twitter Rss'
microsoft,irrelevant,'Google Microsoft Apple google microsoft apple'
apple,negative,'Only thing bad about the new camera is that it has two compact flash cards not one of SD SD goes in my computer Damn you'
twitter,irrelevant,'La mamachy ya tiene Twitter Sigamosla es ella'
google,irrelevant,'RT Possibilité de sauvegarder pour visionner horsligne google nexusprime'
twitter,neutral,'RT Progress is a Process Surprised to see a sensible topic trending worldwide in twitter'
microsoft,neutral,'Steve Ballmer Nokia to reveal multiple Windows Phone devices next week Microsoft may make their own'
google,neutral,'Samsung Galaxy Nexus announced full specs available samsung galaxy nexus google android ics thetechcheck'
google,positive,'Telegraph reports that the biggest threat to facebook is its power users have shifted to twitter or google'
microsoft,negative,'Installing NET framework this might take very many years Come back when your unborn child is in college microsoft'
apple,neutral,'RT Apple have just announced they sold million phones this weekend Incredible That recession continues to bite'
microsoft,neutral,'RT Tomorrow at SAPTechEd Bangalore SAP Microsoft Building Apps for Both Worlds w DuetEnterprise SAPGateway h'
twitter,neutral,'doesnt take much to be cool on twitter'
microsoft,neutral,'The debate is am I allowed to use my BB pen at Microsoft'
google,neutral,'Google weiterhin auf der Erfolgsspur'
apple,neutral,'unlocking it at store RIP Mr Jobs'
apple,negative,'Damn it Whatchu done to my phone'
microsoft,negative,'If Microsoft had more interoperability between their products Xbox Windows Windows Phone Zune Id be a Windows Phone user'
twitter,neutral,'Progress is a Process Surprised to see a sensible topic trending worldwide in twitter'
twitter,neutral,'RT Its twitter Get over it or go back to Facebook and unfollow me This is my free forum to say exactly what thee fuck I'
apple,neutral,'The iPhone update has segregated my contacts between iPhone users and noniPhone users They just had to call out those nonusers'
apple,neutral,'Dear why did my Apple ID change to my colleagues when I charged on her Mac Now can t download or update apps iPhone'
google,positive,'WHAT Google Chrome syncs with your Android devices bookmarks NICE'
microsoft,positive,'Why I love Microsoft gt Microsoft hosting Kids TechFest to encourage careers in tech babygeeks via'
google,neutral,'Android Google Samsungs Galaxy Nexus Its Official Its Headed For Global Availability And Its DhilipSiva'
google,neutral,'Galaxy Nexus GalaxyNexus Android Google followme'
twitter,neutral,'please could u somehow convince hemo to join twitter we need her awesomeness glee'
google,positive,'Ready for some Ice Cream Sandwich google android'
google,positive,'New Galaxy Nexus OS Improvements Stacks Scrolling introduced for widgets for richer content samsung google android bitlynEJbyE'
apple,negative,'Hey stop sending your automaticallydepreciatealliPhonesolderthanthes signal My iPhone is dying rapidly processorwise'
apple,negative,'I hate you for not sending Toledooh any for even after I pre ordered'
apple,negative,'PLEASE FIX Siri She cant connect to your network'
twitter,neutral,'Wow jus made a TWITTER i reallly dnt kno how o use it so i neea alittle help'
twitter,irrelevant,'Quien anda activo por el Twitter ahorita'
